comune,codice,chiamate,covered,uncovered
Cusano Mutri,ROSSO,158.6,True,0.0
Cusano Mutri,GIALLO,266.5,True,0.0
Cusano Mutri,VERDE,205.4,True,0.0
Cusano Mutri,BIANCO,19.5,True,0.0
Dugenta,ROSSO,43.0,True,0.0
Dugenta,GIALLO,172.0,True,0.0
Dugenta,VERDE,341.0,True,0.0
Dugenta,BIANCO,109.0,True,0.0
Durazzano,ROSSO,19.0,True,0.0
Durazzano,GIALLO,50.0,True,0.0
Durazzano,VERDE,103.0,True,0.0
Durazzano,BIANCO,38.0,True,0.0
Faicchio,ROSSO,14.3,True,0.0
Faicchio,GIALLO,52.8,True,0.0
Faicchio,VERDE,69.3,True,0.0
Faicchio,BIANCO,15.4,True,0.0
Foglianise,ROSSO,38.5,True,0.0
Foglianise,GIALLO,97.9,True,0.0
Foglianise,VERDE,118.8,True,0.0
Foglianise,BIANCO,42.9,True,0.0
Foiano Di Val Fortore,ROSSO,23.1,True,0.0
Foiano Di Val Fortore,GIALLO,44.0,True,0.0
Foiano Di Val Fortore,VERDE,58.3,True,0.0
Foiano Di Val Fortore,BIANCO,17.6,True,0.0
Forchia,ROSSO,62.7,True,0.0
Forchia,GIALLO,130.9,True,0.0
Forchia,VERDE,168.3,True,0.0
Forchia,BIANCO,35.2,True,0.0
Fragneto Monforte,ROSSO,22.0,True,0.0
Fragneto Monforte,GIALLO,39.6,True,0.0
Fragneto Monforte,VERDE,49.5,True,0.0
Fragneto Monforte,BIANCO,9.9,True,0.0
Fragneto L'Abate,ROSSO,100.1,True,0.0
Fragneto L'Abate,GIALLO,180.7,True,0.0
Fragneto L'Abate,VERDE,136.5,True,0.0
Fragneto L'Abate,BIANCO,20.8,True,0.0
Frasso Telesino,ROSSO,34.1,True,0.0
Frasso Telesino,GIALLO,73.7,True,0.0
Frasso Telesino,VERDE,90.2,True,0.0
Frasso Telesino,BIANCO,18.7,True,0.0
Guardia Sanframondi,ROSSO,103.4,True,0.0
Guardia Sanframondi,GIALLO,229.9,True,0.0
Guardia Sanframondi,VERDE,200.2,True,0.0
Guardia Sanframondi,BIANCO,64.9,True,0.0
Melizzano,ROSSO,13.0,True,0.0
Melizzano,GIALLO,18.2,True,0.0
Melizzano,VERDE,22.1,True,0.0
Melizzano,BIANCO,3.9,True,0.0
Moiano,ROSSO,7.0,True,0.0
Moiano,GIALLO,14.0,True,0.0
Moiano,VERDE,26.0,True,0.0
Moiano,BIANCO,14.0,True,0.0
Molinara,ROSSO,33.8,True,0.0
Molinara,GIALLO,61.1,True,0.0
Molinara,VERDE,37.7,True,0.0
Molinara,BIANCO,6.5,True,0.0
Montefalcone Di Val Fortore,ROSSO,92.4,True,0.0
Montefalcone Di Val Fortore,GIALLO,170.5,True,0.0
Montefalcone Di Val Fortore,VERDE,200.2,True,0.0
Montefalcone Di Val Fortore,BIANCO,58.3,True,0.0
Montesarchio,ROSSO,124.8,True,0.0
Montesarchio,GIALLO,211.9,True,0.0
Montesarchio,VERDE,137.8,True,0.0
Montesarchio,BIANCO,20.8,True,0.0
Paduli,ROSSO,94.6,True,0.0
Paduli,GIALLO,226.6,True,0.0
Paduli,VERDE,264.0,True,0.0
Paduli,BIANCO,70.4,True,0.0
Pago Veiano,ROSSO,76.7,True,0.0
Pago Veiano,GIALLO,110.5,True,0.0
Pago Veiano,VERDE,92.3,True,0.0
Pago Veiano,BIANCO,16.9,True,0.0
Pannarano,ROSSO,9.0,True,0.0
Pannarano,GIALLO,42.0,True,0.0
Pannarano,VERDE,114.0,True,0.0
Pannarano,BIANCO,41.0,True,0.0
Paolisi,ROSSO,49.4,True,0.0
Paolisi,GIALLO,98.8,True,0.0
Paolisi,VERDE,68.9,True,0.0
Paolisi,BIANCO,10.4,True,0.0
Paupisi,ROSSO,139.1,True,0.0
Paupisi,GIALLO,223.6,True,0.0
Paupisi,VERDE,154.7,True,0.0
Paupisi,BIANCO,29.9,True,0.0
Pesco Sannita,ROSSO,25.0,True,0.0
Pesco Sannita,GIALLO,77.0,True,0.0
Pesco Sannita,VERDE,146.0,True,0.0
Pesco Sannita,BIANCO,44.0,True,0.0
Pietraroja,ROSSO,10.0,True,0.0
Pietraroja,GIALLO,15.0,True,0.0
Pietraroja,VERDE,48.0,True,0.0
Pietraroja,BIANCO,17.0,True,0.0
Pietrelcina,ROSSO,66.0,True,0.0
Pietrelcina,GIALLO,117.7,True,0.0
Pietrelcina,VERDE,155.1,True,0.0
Pietrelcina,BIANCO,36.3,True,0.0
Ponte,ROSSO,49.5,True,0.0
Ponte,GIALLO,123.2,True,0.0
Ponte,VERDE,123.2,True,0.0
Ponte,BIANCO,35.2,True,0.0
Pontelandolfo,ROSSO,11.0,True,0.0
Pontelandolfo,GIALLO,35.0,True,0.0
Pontelandolfo,VERDE,63.0,True,0.0
Pontelandolfo,BIANCO,21.0,True,0.0
Puglianello,ROSSO,6.6,True,0.0
Puglianello,GIALLO,18.7,True,0.0
Puglianello,VERDE,16.5,True,0.0
Puglianello,BIANCO,4.4,True,0.0
Reino,ROSSO,13.2,True,0.0
Reino,GIALLO,29.7,True,0.0
Reino,VERDE,29.7,True,0.0
Reino,BIANCO,7.7,True,0.0
San Giorgio La Molara,ROSSO,64.9,True,0.0
San Giorgio La Molara,GIALLO,178.2,True,0.0
San Giorgio La Molara,VERDE,165.0,True,0.0
San Giorgio La Molara,BIANCO,52.8,True,0.0
San Leucio Del Sannio,ROSSO,5.5,True,0.0
San Leucio Del Sannio,GIALLO,9.9,True,0.0
San Leucio Del Sannio,VERDE,12.1,True,0.0
San Leucio Del Sannio,BIANCO,2.2,True,0.0
San Lorenzello,ROSSO,38.5,True,0.0
San Lorenzello,GIALLO,112.2,True,0.0
San Lorenzello,VERDE,122.1,True,0.0
San Lorenzello,BIANCO,26.4,True,0.0
San Lorenzo Maggiore,ROSSO,62.7,True,0.0
San Lorenzo Maggiore,GIALLO,163.9,True,0.0
San Lorenzo Maggiore,VERDE,170.5,True,0.0
San Lorenzo Maggiore,BIANCO,34.1,True,0.0
San Lupo,ROSSO,26.0,True,0.0
San Lupo,GIALLO,83.0,True,0.0
San Lupo,VERDE,174.0,True,0.0
San Lupo,BIANCO,46.0,True,0.0
San Martino Sannita,ROSSO,73.7,True,0.0
San Martino Sannita,GIALLO,160.6,True,0.0
San Martino Sannita,VERDE,199.1,True,0.0
San Martino Sannita,BIANCO,55.0,True,0.0
San Nazzaro,ROSSO,16.5,True,0.0
San Nazzaro,GIALLO,49.5,True,0.0
San Nazzaro,VERDE,48.4,True,0.0
San Nazzaro,BIANCO,19.8,True,0.0
San Nicola Manfredi,ROSSO,140.4,True,0.0
San Nicola Manfredi,GIALLO,198.9,True,0.0
